sample,time,code,chan,trialIdx,trialRawTmin.sample,trialRawTmin.time,trialRawT0.sample,trialRawT0.time,trialRawTmax.sample,trialRawTmax.time
8868,8.359375,351,0,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
8887,8.3779296875,350,0,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
8973,8.4619140625,351,0,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
9000,8.48828125,350,0,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
9017,8.5048828125,351,0,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
9031,8.5185546875,350,0,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
9054,8.541015625,351,0,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
9093,8.5791015625,350,0,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
9371,8.8505859375,351,0,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
9387,8.8662109375,101,-1,12,231111,225.6943359375,231419,225.9951171875,244731,238.9951171875
308,0.0,12,-1,13,248540,242.71484375,248848,243.015625,262160,256.015625
1332,1.0,1,-1,13,248540,242.71484375,248848,243.015625,262160,256.015625
8171,7.6787109375,350,0,13,248540,242.71484375,248848,243.015625,262160,256.015625
8231,7.7373046875,351,0,13,248540,242.71484375,248848,243.015625,262160,256.015625
8368,7.87109375,350,0,13,248540,242.71484375,248848,243.015625,262160,256.015625
8391,7.8935546875,351,0,13,248540,242.71484375,248848,243.015625,262160,256.015625
8469,7.9697265625,350,0,13,248540,242.71484375,248848,243.015625,262160,256.015625
8500,8.0,112,-1,13,248540,242.71484375,248848,243.015625,262160,256.015625
8578,8.076171875,351,0,13,248540,242.71484375,248848,243.015625,262160,256.015625
8602,8.099609375,350,0,13,248540,242.71484375,248848,243.015625,262160,256.015625
8615,8.1123046875,351,0,13,248540,242.71484375,248848,243.015625,262160,256.015625
8632,8.12890625,350,0,13,248540,242.71484375,248848,243.015625,262160,256.015625
8738,8.232421875,351,0,13,248540,242.71484375,248848,243.015625,262160,256.015625
8782,8.275390625,350,0,13,248540,242.71484375,248848,243.015625,262160,256.015625
8828,8.3203125,351,0,13,248540,242.71484375,248848,243.015625,262160,256.015625
8871,8.3623046875,350,0,13,248540,242.71484375,248848,243.015625,262160,256.015625
8911,8.4013671875,351,0,13,248540,242.71484375,248848,243.015625,262160,256.015625
8965,8.4541015625,350,0,13,248540,242.71484375,248848,243.015625,262160,256.015625
9217,8.7001953125,101,-1,13,248540,242.71484375,248848,243.015625,262160,256.015625
9253,8.7353515625,351,0,13,248540,242.71484375,248848,243.015625,262160,256.015625
308,0.0,12,-1,14,265786,259.556640625,266094,259.857421875,279406,272.857421875
1332,1.0,1,-1,14,265786,259.556640625,266094,259.857421875,279406,272.857421875
8502,8.001953125,112,-1,14,265786,259.556640625,266094,259.857421875,279406,272.857421875
8865,8.3564453125,350,0,14,265786,259.556640625,266094,259.857421875,279406,272.857421875
8902,8.392578125,351,0,14,265786,259.556640625,266094,259.857421875,279406,272.857421875
8962,8.451171875,350,0,14,265786,259.556640625,266094,259.857421875,279406,272.857421875
9178,8.662109375,101,-1,14,265786,259.556640625,266094,259.857421875,279406,272.857421875
9192,8.67578125,351,0,14,265786,259.556640625,266094,259.857421875,279406,272.857421875
308,0.0,12,-1,15,283004,276.37109375,283312,276.671875,296624,289.671875
1330,0.998046875,1,-1,15,283004,276.37109375,283312,276.671875,296624,289.671875
8130,7.638671875,350,0,15,283004,276.37109375,283312,276.671875,296624,289.671875
8165,7.6728515625,351,0,15,283004,276.37109375,283312,276.671875,296624,289.671875
8461,7.9619140625,350,0,15,283004,276.37109375,283312,276.671875,296624,289.671875
8483,7.9833984375,351,0,15,283004,276.37109375,283312,276.671875,296624,289.671875
8500,8.0,112,-1,15,283004,276.37109375,283312,276.671875,296624,289.671875
8888,8.37890625,350,0,15,283004,276.37109375,283312,276.671875,296624,289.671875
8965,8.4541015625,351,0,15,283004,276.37109375,283312,276.671875,296624,289.671875
8986,8.474609375,350,0,15,283004,276.37109375,283312,276.671875,296624,289.671875
9211,8.6943359375,101,-1,15,283004,276.37109375,283312,276.671875,296624,289.671875
9241,8.7236328125,351,0,15,283004,276.37109375,283312,276.671875,296624,289.671875
308,0.0,12,-1,16,300243,293.2060546875,300551,293.5068359375,313863,306.5068359375
1330,0.998046875,1,-1,16,300243,293.2060546875,300551,293.5068359375,313863,306.5068359375
8499,7.9990234375,112,-1,16,300243,293.2060546875,300551,293.5068359375,313863,306.5068359375
10157,9.6181640625,350,0,16,300243,293.2060546875,300551,293.5068359375,313863,306.5068359375
10213,9.6728515625,351,0,16,300243,293.2060546875,300551,293.5068359375,313863,306.5068359375
10345,9.8017578125,350,0,16,300243,293.2060546875,300551,293.5068359375,313863,306.5068359375
10404,9.859375,351,0,16,300243,293.2060546875,300551,293.5068359375,313863,306.5068359375
10474,9.927734375,350,0,16,300243,293.2060546875,300551,293.5068359375,313863,306.5068359375
10520,9.97265625,351,0,16,300243,293.2060546875,300551,293.5068359375,313863,306.5068359375
10541,9.9931640625,350,0,16,300243,293.2060546875,300551,293.5068359375,313863,306.5068359375
10723,10.1708984375,101,-1,16,300243,293.2060546875,300551,293.5068359375,313863,306.5068359375
10742,10.189453125,351,0,16,300243,293.2060546875,300551,293.5068359375,313863,306.5068359375
308,0.0,12,-1,17,319010,311.533203125,319318,311.833984375,332630,324.833984375
1332,1.0,1,-1,17,319010,311.533203125,319318,311.833984375,332630,324.833984375
8503,8.0029296875,112,-1,17,319010,311.533203125,319318,311.833984375,332630,324.833984375
9055,8.5419921875,350,0,17,319010,311.533203125,319318,311.833984375,332630,324.833984375
9368,8.84765625,101,-1,17,319010,311.533203125,319318,311.833984375,332630,324.833984375
9376,8.85546875,351,0,17,319010,311.533203125,319318,311.833984375,332630,324.833984375
308,0.0,15,-1,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
1332,1.0,1,-1,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
3851,3.4599609375,350,0,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
3900,3.5078125,351,0,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
3910,3.517578125,350,1,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
3930,3.537109375,351,1,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
3996,3.6015625,350,0,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
4030,3.634765625,351,0,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
4126,3.728515625,350,0,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
4143,3.7451171875,351,0,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
4204,3.8046875,350,0,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
4304,3.90234375,351,0,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
4386,3.982421875,350,0,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
4490,4.083984375,351,0,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
4591,4.1826171875,350,0,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
4616,4.20703125,351,0,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
4757,4.3447265625,350,0,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
4783,4.3701171875,351,0,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
5048,4.62890625,350,0,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
5078,4.658203125,351,0,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
8502,8.001953125,115,-1,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
8526,8.025390625,350,1,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
8548,8.046875,351,1,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
8826,8.318359375,350,1,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
9015,8.5029296875,103,-1,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
9051,8.5380859375,351,1,18,336419,328.5341796875,336727,328.8349609375,350039,341.8349609375
308,0.0,15,-1,19,353486,345.201171875,353794,345.501953125,367106,358.501953125
