sample,time,code,chan,trialIdx
940553,918.5087890625,351,1,49
940566,918.521484375,350,1,49
940604,918.55859375,350,0,49
940637,918.5908203125,351,0,49
940638,918.591796875,351,1,49
940656,918.609375,350,1,49
940746,918.697265625,350,0,49
940766,918.716796875,351,0,49
940850,918.798828125,350,0,49
940871,918.8193359375,351,0,49
940940,918.88671875,350,0,49
940957,918.9033203125,103,-1,49
940971,918.9169921875,351,0,49
940991,918.9365234375,351,1,49
953373,931.0283203125,13,-1,50
954395,932.0263671875,1,-1,50
961303,938.7724609375,350,0,50
961322,938.791015625,351,0,50
961566,939.029296875,113,-1,50
961689,939.1494140625,350,0,50
961756,939.21484375,351,0,50
961837,939.2939453125,350,0,50
961854,939.310546875,351,0,50
961952,939.40625,350,0,50
961974,939.427734375,351,0,50
962009,939.4619140625,350,0,50
962071,939.5224609375,351,0,50
962108,939.55859375,350,0,50
962155,939.6044921875,351,0,50
962190,939.638671875,350,0,50
962468,939.91015625,101,-1,50
962521,939.9619140625,351,0,50
974900,952.05078125,16,-1,51
975839,952.9677734375,350,1,51
975911,953.0380859375,351,1,51
975924,953.05078125,1,-1,51
975930,953.056640625,350,1,51
976002,953.126953125,351,1,51
976091,953.2138671875,350,1,51
976130,953.251953125,351,1,51
976150,953.271484375,350,1,51
976426,953.541015625,351,1,51
976467,953.5810546875,350,1,51
976547,953.6591796875,351,1,51
983094,960.052734375,116,-1,51
983402,960.353515625,350,1,51
983433,960.3837890625,351,1,51
983501,960.4501953125,350,1,51
983894,960.833984375,103,-1,51
983966,960.904296875,351,1,51
996322,972.970703125,16,-1,52
996633,973.2744140625,350,1,52
996739,973.3779296875,351,1,52
997347,973.9716796875,1,-1,52
997511,974.1318359375,350,1,52
997570,974.189453125,351,1,52
1004517,980.9736328125,116,-1,52
1005152,981.59375,350,1,52
1005269,981.7080078125,351,1,52
1005295,981.7333984375,350,1,52
1005538,981.970703125,103,-1,52
1005567,981.9990234375,351,1,52
1017969,994.1103515625,16,-1,53
1018993,995.1103515625,1,-1,53
1026164,1002.11328125,116,-1,53
1026647,1002.5849609375,350,1,53
1026817,1002.7509765625,103,-1,53
1026838,1002.771484375,351,1,53
1039261,1014.9033203125,16,-1,54
1040285,1015.9033203125,1,-1,54
1040500,1016.11328125,350,0,54
1040555,1016.1669921875,351,0,54
1041852,1017.43359375,350,1,54
1041918,1017.498046875,351,1,54
1042260,1017.83203125,350,1,54
1042355,1017.9248046875,351,1,54
1042493,1018.0595703125,350,1,54
1042535,1018.1005859375,351,1,54
1047456,1022.90625,116,-1,54
1047987,1023.4248046875,350,1,54
1048087,1023.5224609375,351,1,54
1048110,1023.544921875,350,1,54
1048288,1023.71875,103,-1,54
1048346,1023.775390625,351,1,54
